CREATED_ON,MODIFIED_ON,PRIVILEGE,GRANTED_ON,NAME,TABLE_CATALOG,TABLE_SCHEMA,GRANTED_TO,GRANTEE_NAME,GRANT_OPTION,GRANTED_BY,DELETED_ON,GRANTED_BY_ROLE_TYPE
2023-08-25 10:55:56.158000-07:00,2023-08-25 10:55:56.158000-07:00,USAGE,SCHEMA,PUBLIC,CRIMSON,PUBLIC,ROLE,CRIMSON_READONLY,False,SYSADMIN,,ROLE
2023-08-25 11:28:52.611000-07:00,2023-08-25 11:31:18.100000-07:00,CREATE FUNCTION,SCHEMA,TEST2,FEM_DEV,TEST2,ROLE,FEM_EDITOR,False,SYSADMIN,2023-08-25 11:31:18.100000-07:00,ROLE
2023-08-25 11:31:23.580000-07:00,2023-08-25 11:37:35.600000-07:00,CREATE PIPE,SCHEMA,PUBLIC,FEM_DEV,PUBLIC,ROLE,FEM_ADMIN,False,SYSADMIN,2023-08-25 11:37:35.600000-07:00,ROLE
2023-08-25 11:37:34.818000-07:00,2023-08-25 11:37:34.818000-07:00,CREATE PROCEDURE,SCHEMA,TEST,FEM_DEV,TEST,ROLE,FEM_EDITOR,False,SYSADMIN,,ROLE
2023-08-31 08:00:14.849000-07:00,2023-08-31 08:00:14.849000-07:00,CREATE SEQUENCE,SCHEMA,INTERNAL,DATA,INTERNAL,ROLE,DATA_EDITOR,False,SYSADMIN,,ROLE
2023-08-31 08:00:14.966000-07:00,2023-08-31 08:00:14.966000-07:00,USAGE,SCHEMA,TEST,DATA,TEST,ROLE,DATA_EDITOR,False,SYSADMIN,,ROLE
2023-08-31 08:00:14.856000-07:00,2023-08-31 08:00:14.856000-07:00,CREATE VIEW,SCHEMA,INTERNAL,DATA,INTERNAL,ROLE,DATA_EDITOR,False,SYSADMIN,,ROLE
2023-08-31 08:00:14.949000-07:00,2023-08-31 08:00:14.949000-07:00,CREATE EXTERNAL TABLE,SCHEMA,TEST,DATA,TEST,ROLE,DATA_ADMIN,False,SYSADMIN,,ROLE
2023-08-31 08:00:14.844000-07:00,2023-08-31 08:00:14.844000-07:00,CREATE FUNCTION,SCHEMA,INTERNAL,DATA,INTERNAL,ROLE,DATA_EDITOR,False,SYSADMIN,,ROLE
2023-08-25 09:20:53.396000-07:00,2023-08-25 09:50:59.656000-07:00,CREATE FUNCTION,SCHEMA,PUBLIC,ADMINISTRATIVE,PUBLIC,ROLE,ADMINISTRATIVE_EDITOR,False,SYSADMIN,2023-08-25 09:50:59.656000-07:00,ROLE
2023-08-25 10:52:30.713000-07:00,2023-08-25 10:52:30.713000-07:00,CREATE PIPE,SCHEMA,PUBLIC,CRIMSON_DEV,PUBLIC,ROLE,CRIMSON_ADMIN,False,SYSADMIN,,ROLE
2023-08-25 11:31:23.685000-07:00,2023-08-25 11:37:35.622000-07:00,CREATE STAGE,SCHEMA,TEST,FEM_DEV,TEST,ROLE,FEM_ADMIN,False,SYSADMIN,2023-08-25 11:37:35.622000-07:00,ROLE
2023-08-31 08:00:15.052000-07:00,2023-08-31 08:00:15.052000-07:00,MONITOR,SCHEMA,SCHEMA2,DATA,SCHEMA2,ROLE,DATA_EDITOR,False,SYSADMIN,,ROLE
2023-08-25 09:20:55.110000-07:00,2023-08-25 09:50:59.598000-07:00,CREATE VIEW,SCHEMA,INTERNAL,ADMINISTRATIVE,INTERNAL,ROLE,ADMINISTRATIVE_EDITOR,False,SYSADMIN,2023-08-25 09:50:59.598000-07:00,ROLE
2023-08-25 09:16:58.043000-07:00,2023-08-25 09:50:59.643000-07:00,CREATE TEMPORARY TABLE,SCHEMA,PUBLIC,ADMINISTRATIVE,PUBLIC,ROLE,ADMINISTRATIVE_EDITOR,False,SYSADMIN,2023-08-25 09:50:59.643000-07:00,ROLE
2023-08-25 11:28:52.616000-07:00,2023-08-25 11:31:22.877000-07:00,CREATE STREAM,SCHEMA,TEST2,FEM_DEV,TEST2,ROLE,FEM_ADMIN,False,SYSADMIN,2023-08-25 11:31:22.877000-07:00,ROLE
2023-08-25 10:55:54.399000-07:00,2023-08-25 10:55:54.399000-07:00,USAGE,SCHEMA,PUBLIC,CRIMSON,PUBLIC,ROLE,MASKING_ADMIN,False,SYSADMIN,,ROLE
2023-08-25 11:28:01.334000-07:00,2023-08-25 11:31:17.859000-07:00,CREATE MATERIALIZED VIEW,SCHEMA,TEST,FEM_DEV,TEST,ROLE,FEM_EDITOR,False,SYSADMIN,2023-08-25 11:31:17.859000-07:00,ROLE
2023-08-25 11:37:36.816000-07:00,2023-08-25 11:37:36.816000-07:00,CREATE VIEW,SCHEMA,PUBLIC,FEM_DEV,PUBLIC,ROLE,MASKING_ADMIN,False,SYSADMIN,,ROLE
