CREATED_ON,MODIFIED_ON,PRIVILEGE,GRANTED_ON,NAME,TABLE_CATALOG,TABLE_SCHEMA,GRANTED_TO,GRANTEE_NAME,GRANT_OPTION,GRANTED_BY,DELETED_ON,GRANTED_BY_ROLE_TYPE
2023-07-28 12:49:35.143000-07:00,2023-07-28 12:49:35.143000-07:00,MONITOR SECURITY,ACCOUNT,DG83080,,,ROLE,PYTHONRUN,False,ACCOUNTADMIN,,ROLE
2023-07-27 10:30:41.642000-07:00,2023-07-27 10:30:41.642000-07:00,USAGE,DATABASE,SNOWFLAKE_SAMPLE_DATA,SNOWFLAKE_SAMPLE_DATA,,ROLE,PUBLIC,False,ACCOUNTADMIN,,ROLE
2023-07-27 11:55:38.110000-07:00,2023-07-28 11:14:45.297000-07:00,OWNERSHIP,DATABASE,ADMINISTRATION,ADMINISTRATION,,ROLE,ACCOUNTADMIN,True,ACCOUNTADMIN,2023-07-28 11:14:45.297000-07:00,ROLE
2023-07-27 14:14:53.643000-07:00,2023-07-27 14:14:53.643000-07:00,OWNERSHIP,USER,SNOWTEST,,,ROLE,ACCOUNTADMIN,True,ACCOUNTADMIN,,ROLE
2023-07-28 07:43:54.821000-07:00,2023-07-28 07:43:54.821000-07:00,OWNERSHIP,USER,WARLYBARD1,,,ROLE,ACCOUNTADMIN,True,ACCOUNTADMIN,,ROLE
2023-07-28 07:44:08.961000-07:00,2023-07-28 07:44:08.961000-07:00,OWNERSHIP,USER,HEIDI007,,,ROLE,ACCOUNTADMIN,True,ACCOUNTADMIN,,ROLE
2023-07-27 10:30:36.315000-07:00,2023-07-27 10:30:36.315000-07:00,OWNERSHIP,USER,DRAGONQUEEN,,,ROLE,ACCOUNTADMIN,True,ACCOUNTADMIN,,ROLE
2023-07-28 12:42:49.646000-07:00,2023-07-28 12:42:49.646000-07:00,OWNERSHIP,ROLE,PYTHONRUN,,,ROLE,ACCOUNTADMIN,True,ACCOUNTADMIN,,ROLE
2023-07-27 10:30:41.135000-07:00,2023-07-27 10:30:41.135000-07:00,OWNERSHIP,DATABASE,SNOWFLAKE_SAMPLE_DATA,SNOWFLAKE_SAMPLE_DATA,,ROLE,ACCOUNTADMIN,True,ACCOUNTADMIN,,ROLE
2023-07-27 10:33:07.549000-07:00,2023-07-27 10:33:07.549000-07:00,OWNERSHIP,WAREHOUSE,COMPUTE_WH,,,ROLE,ACCOUNTADMIN,True,ACCOUNTADMIN,,ROLE
2023-07-27 13:49:20.258000-07:00,2023-07-27 13:49:20.258000-07:00,OWNERSHIP,WAREHOUSE,WH_WORKGROUP_A,,,ROLE,ACCOUNTADMIN,True,ACCOUNTADMIN,,ROLE
2023-07-27 13:51:36.646000-07:00,2023-07-27 13:51:36.646000-07:00,OWNERSHIP,WAREHOUSE,WH_SMART_RECRUITER,,,ROLE,ACCOUNTADMIN,True,ACCOUNTADMIN,,ROLE
2023-07-27 12:12:32.057000-07:00,2023-07-27 12:12:32.057000-07:00,OWNERSHIP,WAREHOUSE,WH_WORK_GROUP_C,,,ROLE,ACCOUNTADMIN,True,ACCOUNTADMIN,,ROLE
