CREATED_ON,DELETED_ON,NAME,COMMENT,OWNER,ROLE_TYPE,ROLE_DATABASE_NAME
2023-07-27 12:39:49.739000-07:00,2023-07-27 13:41:54.512000-07:00,FEM_DEV_READONLY,,,ROLE,
2023-07-27 13:50:51.148000-07:00,2023-07-28 12:27:13.820000-07:00,CRIMSON_EDITOR,,,ROLE,
2023-07-27 12:39:47.303000-07:00,2023-07-27 13:41:51.880000-07:00,FEM_ADMIN,,,ROLE,
2023-07-28 10:05:22.411000-07:00,2023-07-28 12:27:09.542000-07:00,ALL_IUF_HR_SYSTEMS_EDITOR,,,ROLE,
2023-07-27 13:42:56.493000-07:00,2023-07-28 07:48:22.163000-07:00,IUF_INTERNAL_REPORTS_READONLY,,,ROLE,
2023-07-28 07:58:17.928000-07:00,2023-07-28 08:02:51.257000-07:00,FEM_STG_EDITOR,,,ROLE,
2023-07-31 08:16:59.492000-07:00,,PRODUCTION_READONLY,,SECURITYADMIN,ROLE,
2023-07-28 14:25:43.933000-07:00,,WORKGROUP_A_DEV_EDITOR,,USERADMIN,ROLE,
2023-07-28 12:27:17.151000-07:00,,IUF_EXTERNAL_REPORTS_EDITOR,,USERADMIN,ROLE,
2023-07-28 14:25:43.813000-07:00,,WORKGROUP_A_DEV_READONLY,,USERADMIN,ROLE,
2023-07-31 09:13:12.821000-07:00,,ALL_IUF_WORKGROUPS_DEV_READONLY,,USERADMIN,ROLE,
2023-07-31 09:53:55.472000-07:00,,DAYFORCE_STG_EDITOR,,USERADMIN,ROLE,
2023-07-28 12:27:14.495000-07:00,,CRIMSON_READONLY,,USERADMIN,ROLE,
2023-07-31 09:12:40.648000-07:00,,ALL_REPORTING_DEV_READONLY,,USERADMIN,ROLE,
2023-07-31 09:13:32.482000-07:00,,IUF_INTERNAL_REPORTS_STG_READONLY,,USERADMIN,ROLE,
2023-07-31 10:01:54.651000-07:00,,WORKGROUP_C_DEV_READONLY,,USERADMIN,ROLE,
2023-07-28 14:25:24.765000-07:00,,CRIMSON_DEV_EDITOR,,USERADMIN,ROLE,
